datetime,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-07-25,44.849,45.587,46.091,44.831,34808091,15933074176.0,2.83,2.4,1.067,1.41
2023-07-26,45.929,45.36,45.961,44.538,36423726,16503961344.0,3.12,-0.5,-0.227,1.47
2023-07-27,46.427,45.808,47.303,45.658,45597552,21281686528.0,3.63,0.99,0.448,1.84
2023-07-28,46.576,46.658,46.935,46.289,33119424,15468754688.0,1.41,1.86,0.85,1.34
2023-07-31,46.662,46.637,47.038,46.414,25105528,11737987840.0,1.34,-0.05,-0.021,1.02
2023-08-01,46.368,46.415,46.808,45.935,23927597,11125350400.0,1.87,-0.48,-0.222,0.97
2023-08-02,45.739,44.177,45.748,43.295,53014157,23551229440.0,5.28,-4.82,-2.238,2.15
2023-08-03,43.708,44.423,45.026,43.708,32507660,14511873024.0,2.98,0.56,0.246,1.32
2023-08-04,44.893,44.588,45.55,44.301,36266618,16325705984.0,2.81,0.37,0.165,1.47
2023-08-07,45.019,45.325,45.448,44.471,32215354,14532204288.0,2.19,1.65,0.737,1.3
2023-08-08,44.761,44.572,45.15,43.964,35384343,15785664000.0,2.62,-1.66,-0.753,1.43
2023-08-09,44.182,42.462,44.22,42.042,58644907,25199841536.0,4.89,-4.73,-2.11,2.38
2023-08-10,42.068,42.296,43.482,41.743,49270530,21001399040.0,4.1,-0.39,-0.166,2.0
2023-08-11,41.659,40.763,41.926,40.547,53308526,21946115584.0,3.26,-3.62,-1.533,2.16
2023-08-14,40.394,43.661,43.708,40.219,69028583,29451176704.0,8.56,7.11,2.898,2.8
2023-08-15,44.468,43.848,45.176,43.618,67651151,30021684224.0,3.57,0.43,0.187,2.74
2023-08-16,44.428,43.394,44.583,43.314,52745068,23173365760.0,2.89,-1.04,-0.454,2.14
2023-08-17,43.878,43.252,43.97,42.909,45239482,19686685696.0,2.45,-0.33,-0.142,1.83
2023-08-18,42.543,43.207,43.486,41.568,58376787,24930015744.0,4.43,-0.1,-0.045,2.36
2023-08-21,44.402,46.875,46.973,44.13,69257337,31712258304.0,6.58,8.49,3.668,2.8
2023-08-22,48.043,45.576,48.095,45.241,75720691,34999861504.0,6.09,-2.77,-1.299,3.07
2023-08-23,45.774,47.024,47.108,45.116,77904608,36287311360.0,4.37,3.18,1.448,3.15
2023-08-24,50.124,47.071,50.174,47.067,115604409,55840966144.0,6.61,0.1,0.047,4.68
2023-08-25,46.92,45.926,47.713,44.932,92534052,42633778688.0,5.91,-2.43,-1.145,3.75
2023-08-28,46.39,46.743,46.888,44.796,68519223,31610970368.0,4.56,1.78,0.817,2.77
2023-08-29,46.574,48.692,48.989,46.299,70139699,33913274112.0,5.75,4.17,1.949,2.84
2023-08-30,48.952,49.172,49.835,48.333,73520598,36265250304.0,3.08,0.99,0.48,2.98
2023-08-31,49.288,49.263,49.652,48.866,52856977,26136107008.0,1.6,0.19,0.091,2.14
2023-09-01,49.67,48.417,49.708,48.05,46383030,22568063488.0,3.37,-1.72,-0.846,1.88
2023-09-05,48.131,48.456,48.759,47.768,38265258,18542069248.0,2.05,0.08,0.039,1.55
2023-09-06,48.353,46.973,48.461,46.492,46866957,22090488576.0,4.06,-3.06,-1.483,1.9
2023-09-07,45.437,46.153,46.256,45.064,43332989,19856696576.0,2.54,-1.75,-0.82,1.75
2023-09-08,45.854,45.484,46.518,45.183,47389994,21683079936.0,2.89,-1.45,-0.669,1.92
2023-09-11,46.06,45.09,46.075,44.224,47396555,21284011264.0,4.07,-0.87,-0.394,1.92
2023-09-12,44.65,44.782,45.585,44.443,34925634,15783565824.0,2.53,-0.68,-0.308,1.41
2023-09-13,44.512,45.397,45.842,44.415,39835535,18093110528.0,3.19,1.37,0.615,1.61
2023-09-14,45.862,45.493,45.899,45.043,37009720,16864030720.0,1.89,0.21,0.096,1.5
2023-09-15,45.253,43.812,45.511,43.72,50683051,22469999616.0,3.94,-3.7,-1.681,2.05
2023-09-18,42.66,43.878,44.154,41.912,50027079,21805424640.0,5.12,0.15,0.066,2.03
2023-09-19,43.745,43.432,43.878,42.914,37306424,16207803136.0,2.2,-1.02,-0.446,1.51
2023-09-20,43.512,42.151,43.815,42.135,36710769,15845393920.0,3.87,-2.95,-1.281,1.49
2023-09-21,41.495,40.929,42.012,40.892,45073596,18684520192.0,2.66,-2.9,-1.222,1.82
2023-09-22,41.484,41.522,42.027,41.143,47923631,19993731328.0,2.16,1.45,0.593,1.94
2023-09-25,41.503,42.134,42.448,41.089,41909096,17644213248.0,3.27,1.47,0.612,1.7
2023-09-26,41.913,41.823,42.732,41.567,40228209,16956910080.0,2.76,-0.74,-0.311,1.63
2023-09-27,42.242,42.38,42.784,41.541,44493520,18792527104.0,2.97,1.33,0.557,1.8
2023-09-28,42.372,43.001,43.358,42.027,42466279,18235938048.0,3.14,1.47,0.621,1.72
2023-09-29,43.739,43.411,44.056,43.219,39782993,17388986624.0,1.95,0.95,0.41,1.61
2023-10-02,43.942,44.694,45.087,43.773,43329821,19353765120.0,3.03,2.96,1.283,1.75
2023-10-03,44.72,43.429,45.042,43.158,47084954,20717561344.0,4.22,-2.83,-1.265,1.91
2023-10-04,43.654,43.953,44.055,43.204,36182086,15847245056.0,1.96,1.21,0.524,1.46
2023-10-05,43.962,44.6,44.812,43.8,39348309,17490933248.0,2.3,1.47,0.647,1.59
2023-10-06,44.105,45.674,45.701,43.938,43443602,19616313856.0,3.95,2.41,1.074,1.76
2023-10-09,44.754,45.185,45.517,44.28,40967472,18421230592.0,2.71,-1.07,-0.489,1.66
2023-10-10,45.222,45.71,46.171,45.0,36858208,16885844736.0,2.59,1.16,0.525,1.49
2023-10-11,46.108,46.718,46.771,45.962,37813689,17559131648.0,1.77,2.21,1.008,1.53
2023-10-12,46.689,46.857,47.521,46.242,48132500,22662038016.0,2.74,0.3,0.139,1.95
2023-10-13,46.872,45.373,47.028,45.192,47542599,21868025344.0,3.92,-3.17,-1.484,1.92
2023-10-16,44.975,46.007,46.137,44.824,37509924,17195894528.0,2.89,1.4,0.634,1.52
